PassengerId,Survived,Age,Fare
242,1,,15.5
243,0,29,10.5
244,0,22,7.125
245,0,30,7.225
246,0,44,90
247,0,25,7.775
248,1,24,14.5
249,1,37,52.5542
250,0,54,26
251,0,,7.25
252,0,29,10.4625
253,0,62,26.55
254,0,30,16.1
255,0,41,20.2125
256,1,29,15.2458
257,1,,79.2
258,1,30,86.5
259,1,35,512.3292
260,1,50,26
261,0,,7.75
262,1,3,31.3875
263,0,52,79.65
264,0,40,0
265,0,,7.75
266,0,36,10.5
267,0,16,39.6875
268,1,25,7.775
269,1,58,153.4625
270,1,35,135.6333
271,0,,31
272,1,25,0
273,1,41,19.5
274,0,37,29.7
275,1,,7.75
276,1,63,77.9583
277,0,45,7.75
278,0,,0
279,0,7,29.125
280,1,35,20.25
281,0,65,7.75
282,0,28,7.8542
283,0,16,9.5
284,1,19,8.05
285,0,,26
286,0,33,8.6625
287,1,30,9.5
288,0,22,7.8958
289,1,42,13
290,1,22,7.75
291,1,26,78.85
292,1,19,91.0792
293,0,36,12.875
294,0,24,8.85
295,0,24,7.8958
296,0,,27.7208
297,0,23.5,7.2292
298,0,2,151.55
299,1,,30.5
300,1,50,247.5208
301,1,,7.75
302,1,,23.25
303,0,19,0
304,1,,12.35
305,0,,8.05
306,1,0.92,151.55
307,1,,110.8833
308,1,17,108.9
309,0,30,24
310,1,30,56.9292
311,1,24,83.1583
312,1,18,262.375
313,0,26,26
314,0,28,7.8958
315,0,43,26.25
316,1,26,7.8542
317,1,24,26
318,0,54,14
319,1,31,164.8667
320,1,40,134.5
321,0,22,7.25
322,0,27,7.8958
323,1,30,12.35
324,1,22,29
325,0,,69.55
326,1,36,135.6333
327,0,61,6.2375
328,1,36,13
329,1,31,20.525
330,1,16,57.9792
331,1,,23.25
332,0,45.5,28.5
333,0,38,153.4625
334,0,16,18
335,1,,133.65
336,0,,7.8958
337,0,29,66.6
338,1,41,134.5
339,1,45,8.05
340,0,45,35.5
341,1,2,26
342,1,24,263
343,0,28,13
344,0,25,13
345,0,36,13
346,1,24,13
347,1,40,13
348,1,,16.1
349,1,3,15.9
350,0,42,8.6625
351,0,23,9.225
352,0,,35
353,0,15,7.2292
354,0,25,17.8
355,0,,7.225
356,0,28,9.5
357,1,22,55
358,0,38,13
359,1,,7.8792
360,1,,7.8792
361,0,40,27.9
362,0,29,27.7208
363,0,45,14.4542
364,0,35,7.05
365,0,,15.5
366,0,30,7.25
367,1,60,75.25
368,1,,7.2292
369,1,,7.75
370,1,24,69.3
371,1,25,55.4417
372,0,18,6.4958
373,0,19,8.05
374,0,22,135.6333
375,0,3,21.075
376,1,,82.1708
377,1,22,7.25
378,0,27,211.5
379,0,20,4.0125
380,0,19,7.775
381,1,42,227.525
382,1,1,15.7417
383,0,32,7.925
384,1,35,52
385,0,,7.8958
386,0,18,73.5
387,0,1,46.9
388,1,36,13
389,0,,7.7292
390,1,17,12
391,1,36,120
392,1,21,7.7958
393,0,28,7.925
394,1,23,113.275
395,1,24,16.7
396,0,22,7.7958
397,0,31,7.8542
398,0,46,26
399,0,23,10.5
400,1,28,12.65
401,1,39,7.925
402,0,26,8.05
403,0,21,9.825
404,0,28,15.85
405,0,20,8.6625
406,0,34,21
407,0,51,7.75
408,1,3,18.75
409,0,21,7.775
410,0,,25.4667
411,0,,7.8958
412,0,,6.8583
413,1,33,90
414,0,,0
415,1,44,7.925
416,0,,8.05
417,1,34,32.5
418,1,18,13
419,0,30,13
420,0,10,24.15
421,0,,7.8958
422,0,21,7.7333
423,0,29,7.875
424,0,28,14.4
425,0,18,20.2125
426,0,,7.25
427,1,28,26
428,1,19,26
429,0,,7.75
430,1,32,8.05
431,1,28,26.55
432,1,,16.1
433,1,42,26
434,0,17,7.125
435,0,50,55.9
436,1,14,120
437,0,21,34.375
438,1,24,18.75
439,0,64,263
440,0,31,10.5
441,1,45,26.25
442,0,20,9.5
443,0,25,7.775
444,1,28,13
445,1,,8.1125
446,1,4,81.8583
447,1,13,19.5
448,1,34,26.55
449,1,5,19.2583
450,1,52,30.5
451,0,36,27.75
452,0,,19.9667
453,0,30,27.75
454,1,49,89.1042
455,0,,8.05
456,1,29,7.8958
457,0,65,26.55
458,1,,51.8625
459,1,50,10.5
460,0,,7.75
461,1,48,26.55
462,0,34,8.05
463,0,47,38.5
464,0,48,13
465,0,,8.05
466,0,38,7.05
467,0,,0
468,0,56,26.55
469,0,,7.725
470,1,0.75,19.2583
471,0,,7.25
472,0,38,8.6625
473,1,33,27.75
474,1,23,13.7917
475,0,22,9.8375
476,0,,52
477,0,34,21
478,0,29,7.0458
479,0,22,7.5208
480,1,2,12.2875
481,0,9,46.9
482,0,,0
483,0,50,8.05
484,1,63,9.5875
485,1,25,91.0792
486,0,,25.4667
487,1,35,90
488,0,58,29.7
489,0,30,8.05
490,1,9,15.9
491,0,,19.9667
492,0,21,7.25
493,0,55,30.5
494,0,71,49.5042
495,0,21,8.05
496,0,,14.4583
497,1,54,78.2667
498,0,,15.1
499,0,25,151.55
500,0,24,7.7958
501,0,17,8.6625
502,0,21,7.75
503,0,,7.6292
504,0,37,9.5875
505,1,16,86.5
506,0,18,108.9
507,1,33,26
508,1,,26.55
509,0,28,22.525
510,1,26,56.4958
511,1,29,7.75
512,0,,8.05
513,1,36,26.2875
514,1,54,59.4
515,0,24,7.4958
516,0,47,34.0208
517,1,34,10.5
518,0,,24.15
519,1,36,26
520,0,32,7.8958
521,1,30,93.5
522,0,22,7.8958
523,0,,7.225
524,1,44,57.9792
525,0,,7.2292
526,0,40.5,7.75
527,1,50,10.5
528,0,,221.7792
529,0,39,7.925
530,0,23,11.5
531,1,2,26
532,0,,7.2292
533,0,17,7.2292
534,1,,22.3583
535,0,30,8.6625
536,1,7,26.25
537,0,45,26.55
538,1,30,106.425
539,0,,14.5
540,1,22,49.5
541,1,36,71
542,0,9,31.275
543,0,11,31.275
544,1,32,26
545,0,50,106.425
546,0,64,26
547,1,19,26
548,1,,13.8625
549,0,33,20.525
550,1,8,36.75
551,1,17,110.8833
552,0,27,26
553,0,,7.8292
554,1,22,7.225
555,1,22,7.775
556,0,62,26.55
557,1,48,39.6
558,0,,227.525
559,1,39,79.65
560,1,36,17.4
561,0,,7.75
562,0,40,7.8958
563,0,28,13.5
564,0,,8.05
565,0,,8.05
566,0,24,24.15
567,0,19,7.8958
568,0,29,21.075
569,0,,7.2292
570,1,32,7.8542
571,1,62,10.5
572,1,53,51.4792
573,1,36,26.3875
574,1,,7.75
575,0,16,8.05
576,0,19,14.5
577,1,34,13
578,1,39,55.9
579,0,,14.4583
580,1,32,7.925
581,1,25,30
582,1,39,110.8833
583,0,54,26
584,0,36,40.125
585,0,,8.7125
586,1,18,79.65
587,0,47,15
588,1,60,79.2
589,0,22,8.05
590,0,,8.05
591,0,35,7.125
592,1,52,78.2667
593,0,47,7.25
594,0,,7.75
595,0,37,26
596,0,36,24.15
597,1,,33
598,0,49,0
599,0,,7.225
600,1,49,56.9292
601,1,24,27
602,0,,7.8958
603,0,,42.4
604,0,44,8.05
605,1,35,26.55
606,0,36,15.55
607,0,30,7.8958
608,1,27,30.5
609,1,22,41.5792
610,1,40,153.4625
611,0,39,31.275
612,0,,7.05
613,1,,15.5
614,0,,7.75
615,0,35,8.05
616,1,24,65
617,0,34,14.4
618,0,26,16.1
619,1,4,39
620,0,26,10.5
621,0,27,14.4542
622,1,42,52.5542
623,1,20,15.7417
624,0,21,7.8542
625,0,21,16.1
626,0,61,32.3208
627,0,57,12.35
628,1,21,77.9583
629,0,26,7.8958
630,0,,7.7333
631,1,80,30
632,0,51,7.0542
633,1,32,30.5
634,0,,0
635,0,9,27.9
636,1,28,13
637,0,32,7.925
638,0,31,26.25
639,0,41,39.6875
640,0,,16.1
641,0,20,7.8542
642,1,24,69.3
643,0,2,27.9
644,1,,56.4958
645,1,0.75,19.2583
646,1,48,76.7292
647,0,19,7.8958
648,1,56,35.5
649,0,,7.55
650,1,23,7.55
651,0,,7.8958
652,1,18,23
653,0,21,8.4333
654,1,,7.8292
655,0,18,6.75
656,0,24,73.5
657,0,,7.8958
658,0,32,15.5
659,0,23,13
660,0,58,113.275
661,1,50,133.65
662,0,40,7.225
663,0,47,25.5875
664,0,36,7.4958
665,1,20,7.925
666,0,32,73.5
667,0,25,13
668,0,,7.775
669,0,43,8.05
670,1,,52
671,1,40,39
672,0,31,52
673,0,70,10.5
674,1,31,13
675,0,,0
676,0,18,7.775
677,0,24.5,8.05
678,1,18,9.8417
679,0,43,46.9
680,1,36,512.3292
681,0,,8.1375
682,1,27,76.7292
683,0,20,9.225
684,0,14,46.9
685,0,60,39
686,0,25,41.5792
687,0,14,39.6875
688,0,19,10.1708
689,0,18,7.7958
690,1,15,211.3375
691,1,31,57
692,1,4,13.4167
693,1,,56.4958
694,0,25,7.225
695,0,60,26.55
696,0,52,13.5
697,0,44,8.05
698,1,,7.7333
699,0,49,110.8833
700,0,42,7.65
701,1,18,227.525
702,1,35,26.2875
703,0,18,14.4542
704,0,25,7.7417
705,0,26,7.8542
706,0,39,26
707,1,45,13.5
708,1,42,26.2875
709,1,22,151.55
710,1,,15.2458
711,1,24,49.5042
712,0,,26.55
713,1,48,52
714,0,29,9.4833
715,0,52,13
716,0,19,7.65
717,1,38,227.525
718,1,27,10.5
719,0,,15.5
720,0,33,7.775
721,1,6,33
722,0,17,7.0542
723,0,34,13
724,0,50,13
725,1,27,53.1
726,0,20,8.6625
727,1,30,21
728,1,,7.7375
729,0,25,26
730,0,25,7.925
731,1,29,211.3375
732,0,11,18.7875
733,0,,0
734,0,23,13
735,0,23,13
736,0,28.5,16.1
737,0,48,34.375
738,1,35,512.3292
739,0,,7.8958
740,0,,7.8958
741,1,,30
742,0,36,78.85
743,1,21,262.375
744,0,24,16.1
745,1,31,7.925
746,0,70,71
747,0,16,20.25
748,1,30,13
749,0,19,53.1
750,0,31,7.75
751,1,4,23
752,1,6,12.475
753,0,33,9.5
754,0,23,7.8958
755,1,48,65
756,1,0.67,14.5
757,0,28,7.7958
758,0,18,11.5
759,0,34,8.05
760,1,33,86.5
761,0,,14.5
762,0,41,7.125
763,1,20,7.2292
764,1,36,120
765,0,16,7.775
766,1,51,77.9583
767,0,,39.6
768,0,30.5,7.75
769,0,,24.15
770,0,32,8.3625
771,0,24,9.5
772,0,48,7.8542
773,0,57,10.5
774,0,,7.225
775,1,54,23
776,0,18,7.75
777,0,,7.75
778,1,5,12.475
779,0,,7.7375
780,1,43,211.3375
781,1,13,7.2292
782,1,17,57
783,0,29,30
784,0,,23.45
785,0,25,7.05
786,0,25,7.25
787,1,18,7.4958
788,0,8,29.125
789,1,1,20.575
790,0,46,79.2
791,0,,7.75
792,0,16,26
793,0,,69.55
794,0,,30.6958
795,0,25,7.8958
796,0,39,13
797,1,49,25.9292
798,1,31,8.6833
799,0,30,7.2292
800,0,30,24.15
801,0,34,13
802,1,31,26.25
803,1,11,120
804,1,0.42,8.5167
805,1,27,6.975
806,0,31,7.775
807,0,39,0
808,0,18,7.775
809,0,39,13
810,1,33,53.1
811,0,26,7.8875
812,0,39,24.15
813,0,35,10.5
814,0,6,31.275
815,0,30.5,8.05
816,0,,0
817,0,23,7.925
818,0,31,37.0042
819,0,43,6.45
820,0,10,27.9
821,1,52,93.5
822,1,27,8.6625
823,0,38,0
824,1,27,12.475
825,0,2,39.6875
826,0,,6.95
827,0,,56.4958
828,1,1,37.0042
829,1,,7.75
830,1,62,80
831,1,15,14.4542
832,1,0.83,18.75
833,0,,7.2292
834,0,23,7.8542
835,0,18,8.3
836,1,39,83.1583
837,0,21,8.6625
838,0,,8.05
839,1,32,56.4958
840,1,,29.7
841,0,20,7.925
842,0,16,10.5
843,1,30,31
844,0,34.5,6.4375
845,0,17,8.6625
846,0,42,7.55
847,0,,69.55
848,0,35,7.8958
849,0,28,33
850,1,,89.1042
851,0,4,31.275
852,0,74,7.775
853,0,9,15.2458
854,1,16,39.4
855,0,44,26
856,1,18,9.35
857,1,45,164.8667
858,1,51,26.55
859,1,24,19.2583
860,0,,7.2292
861,0,41,14.1083
862,0,21,11.5
863,1,48,25.9292
864,0,,69.55
865,0,24,13
866,1,42,13
867,1,27,13.8583
868,0,31,50.4958
869,0,,9.5
870,1,4,11.1333
871,0,26,7.8958
872,1,47,52.5542
873,0,33,5
874,0,47,9
875,1,28,24
876,1,15,7.225
877,0,20,9.8458
878,0,19,7.8958
879,0,,7.8958
880,1,56,83.1583
881,1,25,26
882,0,33,7.8958
883,0,22,10.5167
884,0,28,10.5
885,0,25,7.05
886,0,39,29.125
887,0,27,13
888,1,19,30
889,0,,23.45
890,1,26,30
891,0,32,7.75
